Canceled,Canceled,
Cart2Quote,Cart2Quote,
Closed,Closed,
Comma-separated,Comma-separated,
Comment,Comment,
Completed,Completed,
Configure,Configure,
Coupons,Coupons,
Customer,Customer,
Customize,Customize,
Date,Date,
Discount,Discount,
Email,Email,
Enabled,Enabled,
From:,From:,
General,General,
Global,Global,
Guest,Guest,
Information,Information,
Item,Item,
items,items,
Items,Items,
Message:,Message:,
N/A,N/A,
New,New,
Notified,Notified,
Number,Number,
Ok,Ok,
Open,Open,
order-header,order-header,
Ordered,Ordered,
Pending,Pending,
Price,Price,
Product,Product,
Products,Products,
Qty,Qty,
Quotation,Quotation,
Quote,Quote,
Quotes,Quotes,
Remarks,Remarks,
Remove,Remove,
Requested,Requested,
Save,Save,
SKU,SKU,
Status,Status,
Subtotal,Subtotal,
Subtotal:,Subtotal:,
Tax,Tax,
title,title,
Title,Title,
To:,To:,
View,View,
